Marca temporal,Age,Gender Identity ,Sexual Orientation,Where are you from? (place of birth),Education,Employment,Favorite character,Least Favorite Character,Favorite race,How long have you been following the comic? (in years),How long have you been part of TKGC? (in years),"Do you participate in other Twokinds fan communities (Discord, forums, etc)?",Do you identify as a furry or a member of the furry fandom?,Favorite chapter of the comic?,Least Favorite chapter of the comic?,"If you are a patron of Thomas Fischbach's Patreon, what tier are you subscribed to?",If money were not an issue would you subscribe to Tom patreon. If so which tier?,How do you feel about the Sunday Sketches Tom does weekly?,Do you own any official Twokinds merchandise?,Do you follow Tom on Picarto?,Have you ever commissioned Twokinds-related art from artists other than Thomas Fischbach?,"Have you ever made Twokinds fan art? (Drawings, Fanfiction, DIY, etc)"
24/10/2024 10:41:30,27,Creature,Bisexual,Western Europe,Some College,Employed Full-time,Adira,Eric,"Feline Keidran (Tigers, Cats, Lions)",8,8,No,Yes,,,I am not a Patron,I would not subscribe,I do not like nor dislike them,"Books or Volumes, Prints or posters, Digital Books/Volumes",No,No,No
24/10/2024 10:43:56,,Transgender Female,Pansexual,North America,Trade School,Employed Full-time,Natani,Masks,"Canine Keidran (Wolves, Foxes, Dogs)",7,5,No,Yes,,,I am not a Patron,Custom pledge,I like them,I do not own any official merchandise,No,No,Yes
24/10/2024 10:44:21,29,Non-binary,Asexual,Western Europe,Some College,Employed Full-time,Flora,Alabaster,"Canine Keidran (Wolves, Foxes, Dogs)",15,7,Yes,Yes,11,3,$10 USD,$10 USD,I like them,"Books or Volumes, Prints or posters, Side comics, Digital Books/Volumes",Yes,No,Yes
24/10/2024 10:44:32,32,Questioning,Pansexual,North America,High School Diploma,Employed Full-time,Flora,"None","Canine Keidran (Wolves, Foxes, Dogs)",1,1,Yes,Yes,,,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,Yes,No,No
24/10/2024 10:44:36,24,Cisgender Male,Bisexual,North America,Bachelor's Degree,Employed Full-time,Rose,Eric,"Canine Keidran (Wolves, Foxes, Dogs)",8,2,No,Yes,,,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,No,No,No
24/10/2024 10:44:47,22,Cisgender Male,Bisexual,North America,Some College,Unemployed,Natani,Laura,"Canine Keidran (Wolves, Foxes, Dogs)",4,1,Yes,Yes,18,1,I am not a Patron,I would not subscribe,I do not like nor dislike them,I do not own any official merchandise,No,No,Yes
24/10/2024 10:44:54,34,Cisgender Male,Heterosexual,Northern Europe,Some High School,Self-Employed,Adira,Clovis,"Feline Keidran (Tigers, Cats, Lions)",14,,Yes,Yes,,,I am not a Patron,$5 USD,I like them,I do not own any official merchandise,Yes,No,Yes
24/10/2024 10:46:29,19,Cisgender Male,Heterosexual,Eastern Europe,Some High School,Employed Part-time,Keith,Masks,"Basitins (Eastern, Western, Northern)",3,3,Yes,Yes,2,,I am not a Patron,I would not subscribe,I like them,I do not own any official merchandise,No,No,Yes
24/10/2024 10:46:54,33,Cisgender Male,Heterosexual,North America,Bachelor's Degree,Employed Full-time,Nora,Mrs Nibbly,Dragons,20,1,Yes,Yes,,,$10 USD,$10 USD,I love them,"Prints or posters, Convention Sketch Commissions",Yes,Yes,No
24/10/2024 10:47:14,19,Cisgender Male,Heterosexual,Eastern Europe,Some College,Unemployed,Rose,Alaric,"Feline Keidran (Tigers, Cats, Lions)",5,2,Yes,Yes,,,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,No,No,No
24/10/2024 10:47:36,26,Female,Heterosexual,Eastern Europe,Bachelor's Degree,Self-Employed,Nora,Rose,Dragons,3,2,Yes,Yes,,,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,No,Yes,Yes
24/10/2024 10:47:44,27,Cisgender Male,Heterosexual,Western Europe,Some College,Employed Full-time,Flora,"None",Dragons,3,3,No,Yes,,,$10 USD,$10 USD,I love them,I do not own any official merchandise,No,No,No
24/10/2024 10:48:04,24,Cisgender Male,Bisexual,North America,Some College,Unemployed,Kathrin,Clovis,"Feline Keidran (Tigers, Cats, Lions)",8,7,No,Yes,,,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,Yes,Yes,No
24/10/2024 10:48:43,29,Cisgender Male,Heterosexual,North America,High School Diploma,Employed Full-time,Kathrin,Roderick,"Feline Keidran (Tigers, Cats, Lions)",5,0.001,Yes,Yes,,,I am not a Patron,$10 USD,I love them,"Books or Volumes, Prints or posters",Yes,No,No
24/10/2024 10:49:22,20,Cisgender Male,Heterosexual,North America,Some College,Employed Part-time,Raine,Roderick,"Canine Keidran (Wolves, Foxes, Dogs)",6,2,Yes,Yes,19,6,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,Yes,No,No
24/10/2024 10:49:30,,I have no idea,I have no clue,North America,Bachelor's Degree,Retired,Flora,"None","Feline Keidran (Tigers, Cats, Lions)",18,4,Yes,Yes,,,$10 USD,$10 USD,I like them,"Books or Volumes, Prints or posters, Side comics",Yes,No,No
24/10/2024 10:50:10,25,Cisgender Male,Bisexual,Southern Europe,Master's Degree,Employed Full-time,Trace,"None",Dragons,8,5,No,Yes,,,I am not a Patron,$5 USD,I like them,I do not own any official merchandise,No,No,No
24/10/2024 10:51:13,27,Cisgender Male,Pansexual,North America,Bachelor's Degree,Employed Part-time,Natani,Brahn,"Canine Keidran (Wolves, Foxes, Dogs)",8,7,No,Yes,10,1,I am not a Patron,$10 USD,I love them,"Books or Volumes, Prints or posters",No,No,Yes
24/10/2024 10:53:21,25,Prefer not to say,Bisexual,North America,Some College,Unemployed,Madelyn (Maddie),Keiren,"Basitins (Eastern, Western, Northern)",15,7,No,No,10,9,I am not a Patron,$10 USD,I like them,Side comics,Yes,No,Yes
24/10/2024 10:53:26,32,Cisgender Male,Heterosexual,Western Europe,Ph.D or higher,Employed Full-time,Kathrin,Zen,"Feline Keidran (Tigers, Cats, Lions)",10,1,Yes,No,18,1,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,Yes,Yes,Yes
24/10/2024 10:58:58,22,Cisgender Male,Heterosexual,North America,High School Diploma,Unemployed,Raine,Euchre,"Canine Keidran (Wolves, Foxes, Dogs)",0.25,3,Yes,Yes,,,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,Yes,No,No
24/10/2024 10:59:26,24,Just Male,Prefer not to say,Western Europe,Some College,Unemployed,Flora,Brahn,"Feline Keidran (Tigers, Cats, Lions)",4,,Yes,Yes,21,11,$10 USD,$10 USD,I love them,I do not own any official merchandise,Yes,Yes,Yes
24/10/2024 11:02:17,23,Cisgender Male,Bisexual,Eastern Europe,Bachelor's Degree,Employed Part-time,Maeve,Seraphina,"Canine Keidran (Wolves, Foxes, Dogs)",7,4,Yes,Yes,,,I am not a Patron,Custom pledge,I love them,I do not own any official merchandise,No,No,No
24/10/2024 11:03:12,22,Transgender Female,Asexual,North America,High School Diploma,Employed Full-time,Mike,Willow,"Canine Keidran (Wolves, Foxes, Dogs)",4,2,No,Yes,,,I am not a Patron,$5 USD,I like them,Books or Volumes,No,No,No
24/10/2024 11:04:01,21,Cisgender Male,Heterosexual,North America,High School Diploma,Employed Full-time,Keith,Evals,"Canine Keidran (Wolves, Foxes, Dogs)",7,2,Yes,Yes,16,3,I am not a Patron,$10 USD,I like them,I do not own any official merchandise,Yes,No,Yes
24/10/2024 11:04:04,31,Cisgender Male,Heterosexual,North America,Trade School,Employed Full-time,Flora,Alabaster,"Feline Keidran (Tigers, Cats, Lions)",7,4,Yes,Yes,11,1,I am not a Patron,$10 USD,I love them,I do not own any official merchandise,Yes,No,Yes
24/10/2024 11:09:07,25,Cisgender Male,Bisexual,Western Europe,Trade School,Employed Full-time,Madelyn (Maddie),Masks,Humans,14,,No,No,7,3,I am not a Patron,I would not subscribe,I like them,"Books or Volumes, Prints or posters, Side comics, Digital Books/Volumes",Yes,No,No
24/10/2024 11:15:00,22,Cisgender Male,Asexual,North America,Some College,Employed Full-time,Raine,"None","Canine Keidran (Wolves, Foxes, Dogs)",1,1,Yes,Yes,,,I am not a Patron,$10 USD,I like them,Books or Volumes,Yes,No,No
